delay,ion_tRecX,ion_QS,ion_NA_GASFIR,ion_NA_SFA,ion_NA_reconstructed_GASFIR,ion_NA_reconstructed_SFA
264.99,0.004094,0,0.00022293086494673542,0.013699212194698385,0.0002360779042475114,(0.018342335402443233+0j)
244.98,0.00409,0,0.00022133114491207362,0.035845919285340644,0.0002360779042475114,(0.018342335402443233+0j)
224.97,0.004089,0,0.00021808770266573685,0.03337905822626974,0.0002360779042475114,(0.018342335402443233+0j)
204.95,0.004094,0,0.00021681199901579795,0.009662995264652419,0.00023607790424806652,(0.018342335402443677+0j)
184.94,0.004097,0,0.0002201689294309972,-0.003275320225631928,0.00023607790438628928,(0.018342335402581567+0j)
164.93,0.004095,0,0.00022654787429510215,0.012631611091231232,0.00023607790359414516,(0.018342335401791643+0j)
144.91,0.00409,0,0.00023228600193980764,0.036440279450092095,0.00023607790795532324,(0.01834233540746888+0j)
124.9,0.004088,0,0.00023615830874379462,0.04104219741857085,0.00023607790056401345,(0.01834233536969898+0j)
104.88,0.004093,0,0.00023924484601112184,0.023246512125915775,0.00023607735544195485,(0.018342338547366444+0j)
84.87,0.004097,0,0.00023916037559834624,0.005936685670608011,0.00023607709499595675,(0.01834239944731919+0j)
64.86,0.004111,0,0.0002390129878087066,0.0074999188811490924,0.0002367165189123277,(0.018314882540181654+0j)
60.53,0.00409,0,0.00023951300137403653,0.006041781143650948,0.00023683281239061937,(0.01830356364727226+0j)
56.21,0.004072,0,0.00023993951811873693,0.0059291514831827374,0.0002358691834191129,(0.01838654996192013+0j)
51.89,0.00407,0,0.00023906909616144834,0.006979948596305019,0.00023414299342583433,(0.018589808882243597+0j)
47.56,0.004075,0,0.00023737598787454406,0.008080888606813552,0.0002334232170502215,(0.018711261773942778+0j)
43.24,0.004092,0,0.0002375771865789078,0.007849804984209285,0.00023537660954120465,(0.018435876998054268+0j)
38.91,0.004127,0,0.00024032432555165517,0.006863658490708913,0.0002390625111723388,(0.017788017799745037+0j)
34.59,0.004151,0,0.00024211221128589422,0.007020921054736284,0.00024113810682269143,(0.0173605664199602+0j)
30.27,0.004132,0,0.000240810334288466,0.007229921889677637,0.00023977171190736613,(0.017789631499874448+0j)
25.94,0.004098,0,0.00024011572445781226,0.007605469297345957,0.00023699588146330886,(0.018933741836277274+0j)
21.62,0.004102,0,0.00024315546483510975,0.008385384877595103,0.00023548826983577076,(0.01976350224633383+0j)
17.3,0.004117,0,0.0002443425813327682,0.008126357615249713,0.00023423570961611517,(0.019352259545107775+0j)
12.97,0.004062,0,0.00023678881191435686,0.006983272150200004,0.00023069183975010787,(0.01791829009348478+0j)
8.65,0.003951,0,0.00022572640855256232,0.0062949342865589175,0.0002267561759075054,(0.01675728066322224+0j)
4.32,0.003929,0,0.00022527532852456567,0.006700273944771129,0.0002282636333887922,(0.016955885699498907+0j)
0.0,0.004077,0,0.00023963988651487522,0.007712718271321806,0.00023688748998906828,(0.018287928274878573+0j)
-4.32,0.004266,0,0.00025442579260903653,0.00814204628923576,0.00024597087690103603,(0.019493860477884706+0j)
-8.65,0.004306,0,0.0002540980977295826,0.007584867751635249,0.0002473612024912475,(0.0196014956318169+0j)
-12.97,0.004175,0,0.00024236186127502002,0.006884650022450756,0.00024061772795735958,(0.018792492008978146+0j)
-17.3,0.004029,0,0.00023463003780466174,0.006995136298189708,0.00023279451676028184,(0.017979868861415005+0j)
-21.62,0.004001,0,0.00023593687134304542,0.007458448248597538,0.0002302863983315584,(0.01778393906024789+0j)
-25.94,0.004066,0,0.00023873496667470295,0.007467597875955967,0.00023324214924280717,(0.018075618077357802+0j)
-30.27,0.004118,0,0.00023798644132311253,0.0072150147695280165,0.00023751625989687497,(0.018389418945470304+0j)
-34.59,0.004113,0,0.00023675429565450656,0.007184566068795917,0.0002391942377415468,(0.018468016750325278+0j)
-38.91,0.004083,0,0.00023838879551985048,0.0074073736137717505,0.00023724288879145572,(0.01838241725312495+0j)
-43.24,0.00407,0,0.00024094843373245745,0.007544821320926376,0.00023361379595776555,(0.0183041510773555+0j)
-47.56,0.004081,0,0.00024120311193609467,0.007411947080489867,0.0002317293470122106,(0.01830738508197549+0j)
-51.89,0.004097,0,0.00023955399641628627,0.007164490823842851,0.00023352892369143952,(0.018349408698160374+0j)
-56.21,0.004103,0,0.00023855348484669303,0.0069474722808124945,0.00023744856213225862,(0.01836542075535863+0j)
