delay,ion_QS,ion_NA,ion_NA_reconstructed
481.8,0.0002737079097940853,-0.003871716821498561,-0.003852964341068299
444.0,0.0002737079097940853,-0.003871716821498561,-0.003852964341068299
406.2,0.0002737079097940853,-0.003871716821498561,-0.003852964341068299
368.39,0.0002737079097940853,-0.003871716821499227,-0.003852964341058751
330.59,0.0002737079097940853,-0.003871716823003357,-0.0038529643433493632
292.79,0.0002737079097940853,-0.003871716514448842,-0.003852964033585371
254.99,0.0002737079097940853,-0.003871723036728447,-0.003852971946724848
217.18,0.0002737079097940853,-0.0038716774409115473,-0.0038529391489483533
179.38,0.0002737079097940853,-0.003871804478027041,-0.0038530314486624473
141.58,0.0002737078852029784,-0.0038718646464683815,-0.003853045328092275
103.77,0.00027377903805569925,-0.003870531880443062,-0.0038519933651277594
101.27,0.00027377165161213135,-0.003870745738439263,-0.0038522560029154995
98.77,0.0002737443315005139,-0.00387101060759254,-0.003852518558900453
96.27,0.0002736937111139648,-0.0038713184521232957,-0.0038527704902144855
93.77,0.0002736209546760904,-0.0038716588486229497,-0.0038530114379786706
91.27,0.00027353317192857496,-0.0038720195727686146,-0.003853250658322427
88.77,0.000273443728229128,-0.0038723873668089492,-0.003853503898233468
86.27,0.0002733711325727528,-0.003872748850675345,-0.0038537883562881348
83.77,0.0002733364399057914,-0.0038730915115647857,-0.0038541168392587366
81.27,0.00027335928691130107,-0.0038734046713553294,-0.0038544924523165047
78.77,0.0002734527999854741,-0.003873680292008297,-0.0038549050873322166
76.27,0.0002736178407185541,-0.0038739134458494195,-0.0038553306129041065
73.77,0.0002738375939196347,-0.003874102268446533,-0.0038557330981725535
71.27,0.00027407433620230126,-0.0038742472511152926,-0.0038560697446872183
68.77,0.0002742709089902373,-0.003874349838447033,-0.0038562976013811756
66.26,0.00027435926499808083,-0.003874410630507752,-0.0038563807369869085
63.76,0.000274275715992367,-0.0038744264215464508,-0.0038562956881460497
61.26,0.0002739852060600345,-0.003874389872551509,-0.0038560374995764146
58.76,0.0002735010385871428,-0.0038742875646173847,-0.003855618537312422
56.26,0.00027290040936078785,-0.0038741010406579957,-0.003855066834319132
53.76,0.0002723256406876873,-0.0038738093196384327,-0.0038544211941173856
51.26,0.00027196768716186703,-0.0038733930930030525,-0.003853724802313163
48.76,0.0002720318246438591,-0.0038728400526815143,-0.003853018745228365
46.26,0.00027268957495385493,-0.003872150425584975,-0.0038523367941194486
43.76,0.0002740246608745611,-0.0038713415569902043,-0.0038517024519626464
41.26,0.00027598405413575833,-0.0038704503506605814,-0.003851128669000392
38.76,0.0002783476383590999,-0.003869532570763834,-0.00385061996454783
36.26,0.00028073032245889973,-0.003868658453120233,-0.0038501761182525573
33.76,0.0002826265555543328,-0.003867904739192296,-0.0038497962613865955
31.26,0.00028349788111381446,-0.0038673440497403178,-0.0038494821895587172
28.76,0.0002828907884058207,-0.003867033289280508,-0.0038492400251350922
26.26,0.00028055908962898446,-0.0038670032930649967,-0.0038490798856405384
23.76,0.00027655819648697566,-0.003867251985687492,-0.0038490138077051927
21.25,0.0002712593603670932,-0.003867745183220972,-0.0038490530403496592
18.75,0.00026540479545922313,-0.0038684121333012467,-0.0038492038787889538
16.25,0.0002598720517423825,-0.0038691677888087472,-0.0038494663459185396
13.75,0.00025560363847465517,-0.0038699196470437514,-0.0038498333143204277
11.25,0.0002534187332906557,-0.003870584657478471,-0.0038502913200413325
8.75,0.00025385780931330704,-0.003871103231198658,-0.003850822638945983
6.25,0.0002570673940881507,-0.0038714492572380355,-0.003851407844063459
3.75,0.0002627451868275621,-0.0038716341514370978,-0.0038520280426939113
1.25,0.0002701602033974293,-0.0038717039450184565,-0.0038526661810145413
0.0,0.00027419694680630435,-0.003871717273159936,-0.003852987207828784
-1.25,0.00027825449085727705,-0.0038717296430876846,-0.0038533071868838142
-3.75,0.0002858185140589553,-0.0038717924034905593,-0.003853937161251597
-6.25,0.0002917121987421334,-0.0038719662715882563,-0.0038545421714983874
-8.75,0.000295084839773474,-0.0038723019444657503,-0.003855107328084806
-11.25,0.0002955396693963275,-0.0038728150343942946,-0.0038556166966789984
-13.75,0.0002931994183039688,-0.003873481429526482,-0.0038560542593906177
-16.25,0.0002886560805528404,-0.003874240763471759,-0.0038564057121355244
-18.75,0.00028282160353565455,-0.0038750071283801812,-0.0038566605234355844
-21.25,0.00027672333176831376,-0.0038756845440419685,-0.0038568135154684047
-23.76,0.00027127955742767274,-0.003876185319319214,-0.0038568653377486495
-26.26,0.00026722456958561125,-0.003876437574276359,-0.0038568211054177404
-28.76,0.0002648891361367589,-0.0038764076776012235,-0.0038566894009124386
-31.26,0.00026428655083921004,-0.003876095057777418,-0.0038564782492302996
-33.76,0.0002651454455089297,-0.00387553230792248,-0.0038561930153444557
-36.26,0.00026700740343377216,-0.0038747777775796077,-0.003855835100231131
-38.76,0.0002693411220296982,-0.0038739049216474086,-0.0038554024488284266
-41.26,0.0002716503136962478,-0.0038729906188221808,-0.003854891957345341
-43.76,0.00027355658907657343,-0.003872104588995562,-0.003854303275670601
-46.26,0.00027484489582296767,-0.0038713015769569203,-0.003853643012218688
-48.76,0.0002754677963497931,-0.0038706172359086466,-0.003852928113786236
-51.26,0.00027551453073459964,-0.0038700678035741287,-0.0038521872923826805
-53.76,0.00027515855450910287,-0.003869652911217436,-0.003851459791048173
-56.26,0.0002746003534918051,-0.0038693603709611946,-0.0038507914177252633
-58.76,0.0002740199875662652,-0.003869171634663493,-0.003850228465719141
-61.26,0.0002735475843961277,-0.003869066783580788,-0.003849810701421763
-63.76,0.0002732529232183367,-0.003869028279145592,-0.003849564888520396
-66.26,0.0002731500837400702,-0.003869043136216943,-0.0038495002583274207
-68.77,0.00027321158767790177,-0.0038691038798759347,-0.0038496076817291502
-71.27,0.0002733837486871282,-0.0038692067751033843,-0.00384985899531487
-73.77,0.0002736050723322059,-0.0038693518256553983,-0.003850214547320041
-76.27,0.00027381942690229977,-0.0038695401062667223,-0.003850628930151423
-78.77,0.000273985463406512,-0.003869772091803503,-0.003851058570747856
-81.27,0.0002740812026256201,-0.0038700461952227982,-0.003851468375793754
-83.77,0.0002741038080604774,-0.0038703578821526197,-0.003851836251745455
-86.27,0.00027406548338326786,-0.003870699437025893,-0.0038521547057321914
-88.77,0.00027398716575843807,-0.0038710603234139995,-0.003852429372312116
-91.27,0.00027389194516413973,-0.0038714279827469777,-0.003852674962524283
-93.77,0.00027379980302955076,-0.0038717888699733027,-0.0038529096553141517
-96.27,0.00027372451986473756,-0.0038721295335522044,-0.003853149237979192
-98.77,0.0002736728052117332,-0.003872437594719891,-0.0038534022963032655
-101.27,0.00027364514510552773,-0.0038727025423161976,-0.003853667465822941
-103.77,0.0002736376382372896,-0.0038729163120476695,-0.003853933254786668
-141.58,0.00027370793438863394,-0.003871572088897768,-0.003852832059483058
-179.38,0.0002737079097940853,-0.0038716295705476522,-0.003852880788502544
-217.18,0.0002737079097940853,-0.0038717562112362547,-0.0038529942198228806
-254.99,0.0002737079097940853,-0.003871710606480505,-0.0038529570349867814
-292.79,0.0002737079097940853,-0.003871717128548502,-0.00385296466734375
-330.59,0.0002737079097940853,-0.0038717168199935426,-0.0038529643380289524
-368.39,0.0002737079097940853,-0.0038717168214978948,-0.003852964341068743
-406.2,0.0002737079097940853,-0.003871716821498561,-0.003852964341068299
-444.0,0.0002737079097940853,-0.003871716821498561,-0.003852964341068299
-481.8,0.0002737079097940853,-0.003871716821498561,-0.003852964341068299
